Customer_ID,Gender,Age,City,Product_Category,Product_ID,Price,Quantity,Purchase_Date,Payment_Method,Browsing_Time_mins,Cart_Abandonment_Flag,Discount_Applied,Loyalty_Points_Earned
CUST1000,Female,54,Hyderabad,Apparel,PROD530,1760.3,2,2023-12-29,Debit Card,43.43,1,37.79,180
CUST1001,Female,39,Mumbai,Apparel,PROD169,4565.85,2,2023-10-09,Net Banking,52.97,1,48.47,366
CUST1002,Male,37,Mumbai,Beauty,PROD140,1549.42,3,2023-01-19,UPI,49.57,0,10.84,292
CUST1003,Female,60,Bangalore,Accessories,PROD898,4343.2,1,2023-08-04,Cash on Delivery,36.6,1,21.59,363
CUST1004,Female,53,Hyderabad,Beauty,PROD875,2134.48,5,2023-07-02,UPI,56.15,1,17.23,169
CUST1005,Male,50,Delhi,Home Decor,PROD634,2341.73,5,2023-03-05,Net Banking,19.18,1,18.48,78
CUST1006,Male,47,Bangalore,Footwear,PROD231,1334.91,5,2023-09-12,Net Banking,29.24,1,17.1,270
CUST1007,Male,37,Mumbai,Beauty,PROD277,1767.88,2,2023-08-17,Net Banking,37.83,1,3.52,261
CUST1008,Female,20,Hyderabad,Footwear,PROD810,3946.7,1,2023-02-08,Net Banking,25.81,0,8.06,105
CUST1009,Female,44,Delhi,Home Decor,PROD457,1437.55,5,2023-09-26,Debit Card,9.87,1,37.02,256
CUST1010,Female,23,Mumbai,Apparel,PROD952,2131.19,2,2023-01-24,Net Banking,31.07,0,9.43,472
CUST1011,Female,23,Hyderabad,Footwear,PROD888,3014.76,1,2023-08-26,Credit Card,21.45,1,20.22,150
CUST1012,Female,42,Delhi,Footwear,PROD578,3306.93,3,2023-12-17,Cash on Delivery,25.3,1,39.58,365
CUST1013,Male,27,Hyderabad,Accessories,PROD111,3461.35,2,2023-10-21,UPI,11.35,0,46.66,92
CUST1014,Female,29,Delhi,Home Decor,PROD487,1696.56,4,2023-11-26,Cash on Delivery,38.83,0,30.13,120
CUST1015,Female,21,Bangalore,Apparel,PROD641,3304.38,4,2023-09-12,UPI,28.16,1,29.42,41
CUST1016,Female,44,Mumbai,Footwear,PROD884,3278.33,3,2023-10-20,UPI,57.22,0,7.22,343
CUST1017,Female,23,Delhi,Apparel,PROD221,4285.78,2,2023-09-12,Cash on Delivery,52.72,0,5.77,450
CUST1018,Male,36,Chennai,Apparel,PROD994,4605.83,5,2023-11-22,Debit Card,19.96,0,15.27,412
CUST1019,Male,31,Bangalore,Beauty,PROD183,2851.73,1,2023-12-29,Cash on Delivery,28.99,1,33.46,443
